Category,VariableName,ExtractedValue,Notes
Baseline maternal,previous_miscarriage_miscarriage_validation_percent,22.9,"Previous miscarriage (%) in validation cohort, miscarriage group"
Baseline maternal,bmi_mean_ongoing_validation,22.9,Mean BMI (kg/m²) ongoing pregnancies; SD 4.29
Baseline maternal,bmi_sd_ongoing_validation,4.29,
Baseline maternal,bmi_mean_miscarriage_validation,23.6,Mean BMI (kg/m²) miscarriages; SD 4.81
Baseline maternal,bmi_sd_miscarriage_validation,4.81,
Ultrasound predictors,fetal_pole_present_ongoing_validation_percent,100,"Presence of fetal pole (%) in validation cohort, ongoing pregnancies"
Ultrasound predictors,fetal_pole_present_miscarriage_validation_percent,100,"Presence of fetal pole (%) in validation cohort, miscarriages"
Ultrasound predictors,fetal_heart_present_ongoing_validation_percent,95.6,"Presence of fetal heart (%) in validation cohort, ongoing pregnancies"
Ultrasound predictors,fetal_heart_present_miscarriage_validation_percent,70.0,"Presence of fetal heart (%) in validation cohort, miscarriages"
Outcomes,outcome_primary_definition,Spontaneous miscarriage by the 16th week of gestation vs ongoing pregnancy at 16 weeks,"Miscarriage defined by uterine evacuation after inevitable or incomplete miscarriage, or complete miscarriage with an empty uterus"
Outcomes,followup_end_ga_weeks,16,All participants contacted at 16 weeks to verify pregnancy status
Prediction model details,logit_pilot_intercept_b0,2.8439,"Intercept for pilot cohort logistic regression (outcome = miscarriage, predictor = progesterone)"
Prediction model details,logit_pilot_progesterone_b1,-0.0971,Coefficient for progesterone (nmol/L) in pilot cohort
Prediction model details,logit_validation_intercept_b0,2.1063,Intercept for validation cohort logistic regression
Prediction model details,logit_validation_progesterone_b1,-0.0782,Coefficient for progesterone (nmol/L) in validation cohort
Performance metrics,auc_pilot,0.89,AUC (95% CI 0.81–0.97) for progesterone in pilot cohort
Performance metrics,auc_pilot_95ci,0.81–0.97,
Performance metrics,auc_validation,0.83,AUC (95% CI 0.77–0.89) for progesterone in validation cohort
Performance metrics,auc_validation_95ci,0.77–0.89,
Performance metrics,auc_difference_pilot_validation,0.06,Difference in AUC (pilot - validation); 95% CI -0.04–0.15; p = 0.267
Biochemical markers,progesterone_cutoff_main,35,nmol/L; threshold for high risk of miscarriage before 16 weeks
Performance metrics,pilot_sensitivity_cutoff35,0.767,Sensitivity 76.7% (95% CI 0.577–0.901); 23/30
Performance metrics,pilot_specificity_cutoff35,0.888,Specificity 88.8% (95% CI 0.803–0.945); 79/89
Performance metrics,pilot_ppv_cutoff35,0.697,PPV 69.7% (95% CI 0.513–0.844); 23/33
Performance metrics,pilot_npv_cutoff35,0.919,NPV 91.9% (95% CI 0.839–0.967); 79/86
Performance metrics,pilot_lr_positive,6.82,LR+ at <35 nmol/L
Performance metrics,pilot_lr_negative,0.26,LR- at <35 nmol/L
Performance metrics,validation_sensitivity_cutoff35,0.657,Sensitivity 65.7% (95% CI 0.534–0.767); 46/70
Performance metrics,validation_specificity_cutoff35,0.920,Specificity 92.0% (95% CI 0.881–0.949); 253/275 (text also refers to 254 TN in accuracy section)
Performance metrics,validation_ppv_cutoff35,0.677,PPV 67.7% (95% CI 0.552–0.785); 46/68
Performance metrics,validation_npv_cutoff35,0.913,NPV 91.3% (95% CI 0.874–0.944); 253/277
Performance metrics,validation_lr_positive,8.21,LR+ at <35 nmol/L
Performance metrics,validation_lr_negative,0.37,LR- at <35 nmol/L
Performance metrics,validation_accuracy_cutoff35,0.87,Accuracy 300/346 (95% CI 0.83–0.90)
Performance metrics,validation_tp_cutoff35,46,True positives (<35 nmol/L and miscarried)
Performance metrics,validation_tn_cutoff35,254,True negatives (≥35 nmol/L and ongoing); slight inconsistency with 253/275 in Table 2
Performance metrics,validation_fp_cutoff35,24,False positives (<35 nmol/L but ongoing)
Performance metrics,validation_fn_cutoff35,22,False negatives (≥35 nmol/L but miscarried); counts yield 68 miscarriages vs 70 stated; minor internal discrepancy
Study identifiers,study_id,Mishoe_2020,Internal ID constructed as FirstAuthor_Year; Systematic Review Snapshot based on Pillai RN et al. 2018 meta-analysis
Study identifiers,first_author,Mishoe,Jonathan M. Mishoe
Study identifiers,publication_year,2020,
Study identifiers,journal,Annals of Emergency Medicine,
Study identifiers,doi,10.1016/j.annemergmed.2019.02.014,From CrossRef link in PDF
Study identifiers,country,Multinational,Systematic review/meta-analysis of studies from multiple countries
Study identifiers,setting,Emergency departments and early pregnancy assessment units,Women with early pregnancy and threatened abortion
Study identifiers,study_design,Systematic review snapshot summarising diagnostic accuracy meta-analysis,"Snapshot of Pillai RN et al., Eur J Obstet Gynecol Reprod Biol. 2018;220:122–131"
Study identifiers,primary_source_citation,"Pillai RN, Konje JC, Richardson M, et al. Prediction of miscarriage in women with viable intrauterine pregnancy—a systematic review and diagnostic accuracy meta-analysis. Eur J Obstet Gynecol Reprod Biol. 2018;220:122–131.",
Eligibility & sample,number_of_included_studies_qualitative,27,27 studies met inclusion criteria for qualitative analysis
Eligibility & sample,number_of_included_studies_quantitative,18,18 studies included in quantitative analysis
Eligibility & sample,patient_population_definition,"Pregnant women with viable intrauterine pregnancy between 6 weeks and 15 weeks + 6 days of gestation, with or without vaginal bleeding.",
Eligibility & sample,inclusion_criteria,"Prospective cohort studies using combinations or individual ultrasonographic markers to predict miscarriage in women with a viable intrauterine pregnancy and gestational age 6 to 15+6 weeks, with or without vaginal bleeding.",
Eligibility & sample,exclusion_criteria,Studies using Doppler criteria alone; studies including women with uterine malformations or medical conditions contributing to miscarriage; studies without clear differentiation between viable pregnancy and miscarriage at baseline; unspecified exclusion criteria; variable sonographer expertise.,Summarised from risk-of-bias discussion
Ultrasound predictors,index_tests_evaluated,Fetal pulse rate (bradycardia); crown-rump length; intrauterine hematoma; difference between mean gestational sac diameter and crown-rump length; abnormal yolk sac.,
Ultrasound predictors,fetal_bradycardia_definition,Fetal pulse rate ≤ 110 beats/min,Identified as most accurate cut-off to predict miscarriage
Ultrasound predictors,ongoing_pregnancy_protective_fhr_7w,>134,Fetal pulse rate >134 beats/min at 7 weeks predictive of ongoing pregnancy in two studies
Ultrasound predictors,ongoing_pregnancy_protective_fhr_8w,>158,Fetal pulse rate >158 beats/min at 8 weeks predictive of ongoing pregnancy in two studies
Outcomes,outcome_primary_definition,Progression to miscarriage after initial ultrasound with viable intrauterine pregnancy.,
Performance metrics,fhr_bradycardia_all_studies_n,10,Number of studies reporting fetal bradycardia in asymptomatic and vaginal bleeding populations
Performance metrics,fhr_bradycardia_all_patients_n,1762,Total number of women in these 10 studies
Performance metrics,fhr_bradycardia_all_sensitivity,68.41,Sensitivity % (95% CI 43.62–85.84) for miscarriage when fetal pulse rate ≤ 110 bpm in asymptomatic and VB combined
Performance metrics,fhr_bradycardia_all_sensitivity_95ci,43.62–85.84,
Performance metrics,fhr_bradycardia_all_specificity,97.84,Specificity % (95% CI 94.50–99.17)
Performance metrics,fhr_bradycardia_all_specificity_95ci,94.50–99.17,
Performance metrics,fhr_bradycardia_all_plr,31.73,Positive likelihood ratio (95% CI 12.78–78.75)
Performance metrics,fhr_bradycardia_all_plr_95ci,12.78–78.75,
Performance metrics,fhr_bradycardia_all_nlr,0.32,Negative likelihood ratio (95% CI 0.16–0.65)
Performance metrics,fhr_bradycardia_all_nlr_95ci,0.16–0.65,
Performance metrics,fhr_bradycardia_vbonly_studies_n,5,Studies including only women with vaginal bleeding
Performance metrics,fhr_bradycardia_vbonly_patients_n,771,Total women in these 5 studies
Performance metrics,fhr_bradycardia_vbonly_sensitivity,84.18,Sensitivity % (95% CI 42.02–97.50)
Performance metrics,fhr_bradycardia_vbonly_sensitivity_95ci,42.02–97.50,
Performance metrics,fhr_bradycardia_vbonly_specificity,95.68,Specificity % (95% CI 87.76–98.56)
Performance metrics,fhr_bradycardia_vbonly_specificity_95ci,87.76–98.56,
Performance metrics,fhr_bradycardia_vbonly_plr,19.51,Positive likelihood ratio (95% CI 5.44–69.84)
Performance metrics,fhr_bradycardia_vbonly_plr_95ci,5.44–69.84,
Performance metrics,fhr_bradycardia_vbonly_nlr,0.16,Negative likelihood ratio (95% CI 0.03–0.91)
Performance metrics,fhr_bradycardia_vbonly_nlr_95ci,0.03–0.91,
Performance metrics,crl_studies_n,5,"Number of studies analysing CRL (1,136 women)"
Performance metrics,crl_patients_n,1136,
Performance metrics,crl_sensitivity,59.81,Sensitivity % (95% CI 48.78–69.93)
Performance metrics,crl_sensitivity_95ci,48.78–69.93,
Performance metrics,crl_specificity,55.68,Specificity % (95% CI 39.95–70.35)
Performance metrics,crl_specificity_95ci,39.95–70.35,
Performance metrics,crl_plr,1.34,Positive likelihood ratio (95% CI 0.91–2.00)
Performance metrics,crl_plr_95ci,0.91–2.00,
Performance metrics,crl_nlr,0.72,Negative likelihood ratio (95% CI 0.49–1.06)
Performance metrics,crl_nlr_95ci,0.49–1.06,
Performance metrics,iuh_sensitivity_range,17–92,Sensitivity % range for intrauterine hematoma in women with vaginal bleeding and confirmed fetal viability
Performance metrics,iuh_specificity_range,17–83,Specificity % range
Performance metrics,msd_crl_discrepancy_studies_n,2,Two studies with 349 women
Performance metrics,msd_crl_discrepancy_patients_n,349,
Performance metrics,msd_crl_sensitivity_range,39–96,Sensitivity % range for difference in mean gestational sac diameter and CRL
Performance metrics,msd_crl_specificity_range,73–88,Specificity % range
Performance metrics,abnormal_yolk_sac_studies_n,3,Three studies with 605 asymptomatic women
Performance metrics,abnormal_yolk_sac_patients_n,605,
Performance metrics,abnormal_yolk_sac_sensitivity_range,17–69,Sensitivity % range
Performance metrics,abnormal_yolk_sac_specificity_range,79–99,Specificity % range
Risk of bias,risk_of_bias_tool,QUADAS-2,Quality Assessment of Diagnostic Accuracy Studies–2 used for methodological assessment
Risk of bias,common_sources_of_bias,Inclusion of women with uterine malformations or medical conditions contributing to miscarriage; unclear exclusion criteria; lack of clear baseline distinction between viable pregnancy and miscarriage; variable sonographer expertise.,
Study identifiers,study_id,Pillai_2016,Internal ID constructed as FirstAuthor_Year
Study identifiers,first_author,Pillai,Rekha N. Pillai
Study identifiers,publication_year,2016,
Study identifiers,journal,Human Reproduction Update,
Study identifiers,article_title,Role of serum biomarkers in the prediction of outcome in women with threatened miscarriage: a systematic review and diagnostic accuracy meta-analysis,
Study identifiers,doi,10.1093/humupd/dmv054,
Study identifiers,country,Multinational,Systematic review/meta-analysis including studies from multiple countries
Study identifiers,study_design,Systematic review and diagnostic accuracy meta-analysis of prospective cohort studies,
Study identifiers,timeframe_of_search,Up to June 2015,"Medline (1946–June 2015), Embase (1980–June 2015), Cochrane Library, ClinicalTrials.gov, WHO ICTRP, LILAC, OpenGrey"
Eligibility & sample,eligibility_study_design,Prospective studies evaluating serum biochemical markers to predict outcome in women with threatened miscarriage,
Eligibility & sample,eligibility_ga_range_weeks,5–23,Gestational age window for inclusion
Eligibility & sample,eligibility_tm_definition,"Vaginal bleeding with or without lower abdominal pain, closed internal os on cervical examination, and ultrasound-confirmed viable intrauterine pregnancy","Based on Saraswat et al. 2010 and NICE CG 154, 2012"
Eligibility & sample,exclusion_criteria_overall,"Retrospective design, case reports/series, reviews; no 5–23 week window; infertility or recurrent miscarriage cohorts; pregnancy of unknown location; ovulation induction or exogenous hormones; treatments for prevention of miscarriage; non-English language without translation",
Eligibility & sample,n_identified_initial_search,6820,6727 from electronic search + 93 from other sources
Eligibility & sample,n_screened_fulltext,35,Manuscripts reviewed in detail
Eligibility & sample,n_included_qualitative,19,Studies included in qualitative synthesis
Eligibility & sample,n_included_quantitative,15,Studies included in diagnostic accuracy meta-analysis
Eligibility & sample,n_total_women_meta,1263,Total women across 15 meta-analysed studies
Biochemical markers,biomarkers_evaluated,"Serum hCG (intact and β-hCG), progesterone, estradiol, pregnancy-associated plasma protein A (PAPP-A), cancer antigen 125 (CA 125)","Plus single-study markers HPL, AFP, SP1, PZP, plasma renin activity/substrate, SHBG, inhibin A, activin A, follistatin, estriol"
Biochemical markers,hcg_studies_n,8,Total hCG or β-hCG studies included in quantitative analysis
Biochemical markers,hcg_total_women,584,
Biochemical markers,progesterone_studies_n,6,Serum progesterone studies
Biochemical markers,progesterone_total_women,481,
Biochemical markers,estradiol_studies_n,4,
Biochemical markers,estradiol_total_women,244,
Biochemical markers,pappa_studies_n,3,
Biochemical markers,pappa_total_women,236,
Biochemical markers,ca125_studies_n,7,
Biochemical markers,ca125_total_women,648,
Outcomes,outcome_primary_definition,Prediction of subsequent miscarriage in women with threatened miscarriage and viable intrauterine pregnancy at baseline,"Miscarriage confirmed clinically, by ultrasound, or histopathology"
Statistical methods,software_meta_analysis,Review Manager 5.3 (Cochrane),
Statistical methods,meta_analysis_model,Hierarchical summary receiver operating characteristic (HSROC) modelling for biomarkers with ≥4 studies,"Rutter & Gatsonis HSROC, empirical Bayes estimates of study-specific sensitivity and specificity"
Statistical methods,between_study_heterogeneity,"Considerable heterogeneity, reflected in wide prediction regions on HSROC plots, especially for progesterone and estradiol",
Performance metrics,hcg_summary_sensitivity_percent,44,Sensitivity % (95% CI 17–75)
Performance metrics,hcg_summary_sensitivity_95ci,17–75,
Performance metrics,hcg_summary_specificity_percent,86,Specificity % (95% CI 80–91)
Performance metrics,hcg_summary_specificity_95ci,80–91,
Performance metrics,hcg_summary_plr,3.37,Positive likelihood ratio (95% CI 1.98–5.74)
Performance metrics,hcg_summary_plr_95ci,1.98–5.74,
Performance metrics,hcg_summary_nlr,0.63,Negative likelihood ratio (95% CI 0.36–1.11)
Performance metrics,hcg_summary_nlr_95ci,0.36–1.11,
Performance metrics,progesterone_summary_sensitivity_percent,30,Sensitivity % (95% CI 2–87)
Performance metrics,progesterone_summary_sensitivity_95ci,2–87,
Performance metrics,progesterone_summary_specificity_percent,86,Specificity % (95% CI 78–91)
Performance metrics,progesterone_summary_specificity_95ci,78–91,
Performance metrics,progesterone_summary_plr,2.24,Positive likelihood ratio (95% CI 0.32–15.80)
Performance metrics,progesterone_summary_plr_95ci,0.32–15.80,
Performance metrics,progesterone_summary_nlr,0.81,Negative likelihood ratio (95% CI 0.35–1.86)
Performance metrics,progesterone_summary_nlr_95ci,0.35–1.86,
Performance metrics,estradiol_summary_sensitivity_percent,45,Sensitivity % (95% CI 6–90)
Performance metrics,estradiol_summary_sensitivity_95ci,6–90,
Performance metrics,estradiol_summary_specificity_percent,87,Specificity % (95% CI 81–92)
Performance metrics,estradiol_summary_specificity_95ci,81–92,
Performance metrics,estradiol_summary_plr,3.72,Positive likelihood ratio (95% CI 1.01–13.71)
Performance metrics,estradiol_summary_plr_95ci,1.01–13.71,
Performance metrics,estradiol_summary_nlr,0.62,Negative likelihood ratio (95% CI 0.20–1.84)
Performance metrics,estradiol_summary_nlr_95ci,0.20–1.84,
Performance metrics,ca125_summary_sensitivity_percent,91,Sensitivity % (95% CI 83–94)
Performance metrics,ca125_summary_sensitivity_95ci,83–94,
Performance metrics,ca125_summary_specificity_percent,90,Specificity % (95% CI 79–93)
Performance metrics,ca125_summary_specificity_95ci,79–93,
Performance metrics,ca125_summary_plr,7.86,Positive likelihood ratio (95% CI 4.23–14.60)
Performance metrics,ca125_summary_plr_95ci,4.23–14.60,
Performance metrics,ca125_summary_nlr,0.10,Negative likelihood ratio (95% CI 0.05–0.20)
Performance metrics,ca125_summary_nlr_95ci,0.05–0.20,
Performance metrics,ca125_inverse_nlr,9.31,Inverse of negative likelihood ratio; 95% CI 5.0–17.1 (indicative value of test for identifying pregnancies likely to continue)
Performance metrics,pappa_sensitivity_range_percent,25–64,Sensitivity % range across 3 studies
Performance metrics,pappa_specificity_range_percent,88–94,Specificity % range across 3 studies
Risk of bias,risk_of_bias_tool,QUADAS-2,"Four domains: patient selection, index test, reference standard, flow and timing"
Risk of bias,common_bias_patient_selection,"Four studies did not specify exclusion criteria; some mixed populations (e.g. broader GA, other early pregnancy complications)",
Risk of bias,common_bias_index_test,Most studies did not prespecify biomarker cut-off levels; cut-offs often selected post hoc,
Risk of bias,common_bias_reference_standard,Outcome sometimes determined by telephone interview or case note review rather than standardized ultrasound/histology,
Risk of bias,common_bias_flow_timing,Not always clear whether women were followed up to at least 23 weeks; potential for incomplete ascertainment of miscarriage,
Study identifiers,study_id,Pillai_2018,Internal ID constructed as FirstAuthor_Year
Study identifiers,first_author,Pillai,Rekha N. Pillai
Study identifiers,publication_year,2018,
Study identifiers,journal,European Journal of Obstetrics & Gynecology and Reproductive Biology,
Study identifiers,article_title,Prediction of miscarriage in women with viable intrauterine pregnancy—A systematic review and diagnostic accuracy meta-analysis,
Study identifiers,doi,10.1016/j.ejogrb.2017.10.024,
Study identifiers,country,Multinational,Systematic review/meta-analysis of ultrasound-based prognostic markers
Study identifiers,study_design,Systematic review and diagnostic accuracy meta-analysis of prospective cohort studies,
Study identifiers,protocol_registration,PROSPERO CRD42016046470,
Study identifiers,timeframe_of_search,Medline 1946–June 2017; Embase 1980–June 2017; CINAHL 1981–June 2017; Cochrane Library,
Eligibility & sample,patient_population_definition,"Women with viable intrauterine pregnancy between 6 and 15+6 weeks’ gestation, with or without vaginal bleeding, undergoing ultrasound",
Eligibility & sample,inclusion_criteria,Prospective cohort studies evaluating ultrasound and/or combination markers to predict miscarriage in women with viable intrauterine pregnancy within 6–15+6 weeks’ gestation.,
Eligibility & sample,exclusion_criteria,Retrospective studies; studies without clear definition of viable intrauterine pregnancy at baseline; lack of separate data for viable pregnancies; non-ultrasound markers only; non-human or non-pregnancy studies.,Summarised from methods text
Eligibility & sample,n_identified_initial_search,4094,Records identified through database searching
Eligibility & sample,n_additional_records,46,Additional records identified through other sources
Eligibility & sample,n_screened_fulltext,27,Studies assessed for eligibility (qualitative)
Eligibility & sample,n_included_qualitative,27,Included in qualitative synthesis
Eligibility & sample,n_included_quantitative,18,Included in quantitative meta-analysis
Eligibility & sample,n_total_women_meta,5584,Total number of women in meta-analysed studies
Ultrasound predictors,ultrasound_markers_evaluated,Fetal heart rate (bradycardia or tachycardia); crown–rump length; intrauterine hematoma; difference between mean gestational sac diameter and crown–rump length; yolk sac morphology and size.,
Ultrasound predictors,fetal_bradycardia_definition,Fetal heart rate ≤ 110 beats/min,Identified as optimal cut-off based on plot of FHR cut-off versus log diagnostic odds ratio
Ultrasound predictors,protective_fhr_7weeks,>134,Fetal heart rate >134 bpm at 7 weeks associated with ongoing pregnancy in two studies
Ultrasound predictors,protective_fhr_8weeks,>158,Fetal heart rate >158 bpm at 8 weeks associated with ongoing pregnancy in two studies
Outcomes,outcome_primary_definition,Progression to miscarriage after index ultrasound with viable intrauterine pregnancy,
Performance metrics,fhr_bradycardia_all_studies_n,10,Studies included for fetal bradycardia across asymptomatic and VB populations
Performance metrics,fhr_bradycardia_all_patients_n,1762,
Performance metrics,fhr_bradycardia_all_sensitivity,68.41,Sensitivity % (95% CI 43.62–85.84)
Performance metrics,fhr_bradycardia_all_sensitivity_95ci,43.62–85.84,
Performance metrics,fhr_bradycardia_all_specificity,97.84,Specificity % (95% CI 94.50–99.17)
Performance metrics,fhr_bradycardia_all_specificity_95ci,94.50–99.17,
Performance metrics,fhr_bradycardia_all_plr,31.73,Positive likelihood ratio (95% CI 12.78–78.75)
Performance metrics,fhr_bradycardia_all_plr_95ci,12.78–78.75,
Performance metrics,fhr_bradycardia_all_nlr,0.32,Negative likelihood ratio (95% CI 0.16–0.65)
Performance metrics,fhr_bradycardia_all_nlr_95ci,0.16–0.65,
Performance metrics,fhr_bradycardia_vbonly_studies_n,5,Threatened miscarriage subgroup
Performance metrics,fhr_bradycardia_vbonly_patients_n,771,
Performance metrics,fhr_bradycardia_vbonly_sensitivity,84.18,Sensitivity % (95% CI 42.02–97.50)
Performance metrics,fhr_bradycardia_vbonly_sensitivity_95ci,42.02–97.50,
Performance metrics,fhr_bradycardia_vbonly_specificity,95.68,Specificity % (95% CI 87.76–98.56)
Performance metrics,fhr_bradycardia_vbonly_specificity_95ci,87.76–98.56,
Performance metrics,fhr_bradycardia_vbonly_plr,19.51,Positive likelihood ratio (95% CI 5.44–69.84)
Performance metrics,fhr_bradycardia_vbonly_plr_95ci,5.44–69.84,
Performance metrics,fhr_bradycardia_vbonly_nlr,0.16,Negative likelihood ratio (95% CI 0.03–0.91)
Performance metrics,fhr_bradycardia_vbonly_nlr_95ci,0.03–0.91,
Performance metrics,crl_studies_n,5,Number of CRL studies
Performance metrics,crl_patients_n,1136,
Performance metrics,crl_sensitivity,59.81,Sensitivity % (95% CI 48.78–69.93)
Performance metrics,crl_sensitivity_95ci,48.78–69.93,
Performance metrics,crl_specificity,55.68,Specificity % (95% CI 39.95–70.35)
Performance metrics,crl_specificity_95ci,39.95–70.35,
Performance metrics,crl_plr,1.34,Positive likelihood ratio (95% CI 0.91–2.00)
Performance metrics,crl_plr_95ci,0.91–2.00,
Performance metrics,crl_nlr,0.72,Negative likelihood ratio (95% CI 0.49–1.06)
Performance metrics,crl_nlr_95ci,0.49–1.06,
Performance metrics,iuh_sensitivity_range,17–92,Sensitivity % range for intrauterine hematoma
Performance metrics,iuh_specificity_range,17–83,Specificity % range
Performance metrics,msd_crl_discrepancy_studies_n,2,Difference between mean gestational sac diameter and CRL
Performance metrics,msd_crl_discrepancy_patients_n,349,
Performance metrics,msd_crl_sensitivity_range,39–96,Sensitivity % range
Performance metrics,msd_crl_specificity_range,73–88,Specificity % range
Performance metrics,abnormal_yolk_sac_studies_n,3,Ultrasound yolk sac morphology/size
Performance metrics,abnormal_yolk_sac_patients_n,605,
Performance metrics,abnormal_yolk_sac_sensitivity_range,17–69,Sensitivity % range
Performance metrics,abnormal_yolk_sac_specificity_range,79–99,Specificity % range
Risk of bias,risk_of_bias_tool,QUADAS-2,Used to assess methodological quality
Risk of bias,common_sources_of_bias,Inclusion of women with uterine malformations or medical conditions contributing to miscarriage; unclear exclusion criteria; sonographer expertise not always reported; variable follow-up duration.,Summarised from risk-of-bias domain discussion
Study identifiers,study_id,Sammut_2025,Internal ID constructed as FirstAuthor_Year
Study identifiers,first_author,Sammut,Lara Sammut
Study identifiers,publication_year,2025,
Study identifiers,journal,Radiography,
Study identifiers,article_title,Predicting first-trimester pregnancy outcome in threatened miscarriage: A comparison of a multivariate logistic regression and machine learning models,
Study identifiers,doi,10.1016/j.radi.2025.103159,
Study identifiers,country,Malta,"Single-centre study at Mater Dei Hospital, Malta"
Study identifiers,institutions,"University of Malta; Mater Dei Hospital; University of the West of England, Bristol",
Study identifiers,study_design,Prospective cohort study with multivariate logistic regression and random forest models,
Study identifiers,study_period,January 2023 – June 2024,
Eligibility & sample,tm_definition,First-trimester vaginal bleeding before 20 weeks with closed cervix and detectable fetal cardiac activity on ultrasound,
Eligibility & sample,ga_range_weeks,5+0 to 12+6,Gestational age at recruitment
Eligibility & sample,population,Women with viable singleton intrauterine pregnancies presenting with symptoms of threatened miscarriage,
Eligibility & sample,inclusion_criteria,Viable singleton intrauterine pregnancy 5+0–12+6 weeks; symptoms of threatened miscarriage; consent to participate,
Eligibility & sample,exclusion_criteria,Non-viable pregnancies; multiple gestations; ectopic and molar pregnancies,
Eligibility & sample,n_total_recruited,118,Total TM cases recruited
Eligibility & sample,n_live_birth,91,77% live birth
Eligibility & sample,n_pregnancy_loss,27,23% pregnancy loss
Eligibility & sample,age_group_counts,14–19 years: 3 (5%); 20–34 years: 46 (78%); 35–46 years: 10 (17%),
Eligibility & sample,sample_size_rationale,"Minimum required to build predictive model with up to eight predictors, each correlated at ≥0.35 with outcome",Based on Bland 2009 and Machin 2018 sample size texts
Predictors – ultrasound,us_predictors,"Fetal heart rate (FHR); mean gestational sac diameter (MGSD); crown-rump length (CRL); cervical length; mean amniotic sac diameter (MASD); trophoblast thickness (TT); yolk sac parameters (diameter, wall thickness, morphology); mean corpus luteum diameter and location; presence, size and location of intrauterine haematoma; uterine fibroids",
Predictors – ultrasound,us_measurement_details,"All scans performed by the same practitioner and equipment; MASD, TT and yolk sac measurements based on previously published methodologies",
Predictors – biochemical,bc_predictors,β-hCG; progesterone; placental growth factor (PlGF); soluble fms-like tyrosine kinase-1 (sFlt-1); sFlt-1:PlGF ratio,
Predictors – biochemical,bc_assay_details,Blood samples via venipuncture; analysed using standard clinical assays in hospital laboratory,
Predictors – clinical,clinical_predictors,Maternal age; BMI; bleeding volume (Pictorial Blood Assessment Chart); pain intensity; ethnicity; paternal age; educational attainment; employment status,
Outcomes,primary_outcome,Pregnancy outcome (live birth vs pregnancy loss) followed to term,"Outcome ascertained from hospital records, supplemented by telephone follow-up"
Correlation analysis,spearman_rho_progesterone,-0.47,Strongest negative correlation with pregnancy loss (P < 0.05)
Correlation analysis,spearman_rho_mgsd,-0.43,P < 0.05
Correlation analysis,spearman_rho_bhcg,-0.40,β-hCG x1000 IU/L; P < 0.05
Correlation analysis,spearman_rho_fhr,-0.35,P < 0.05
Correlation analysis,spearman_rho_crl,-0.31,P < 0.05
Correlation analysis,spearman_rho_cervical_length,-0.26,P < 0.05
Correlation analysis,spearman_rho_masd,-0.25,P < 0.05
Correlation analysis,spearman_rho_tt,-0.23,P < 0.05
Correlation analysis,spearman_rho_sflt1_plgf_ratio,-0.19,P < 0.05
Correlation analysis,spearman_rho_maternal_age,0.33,Positive correlation with pregnancy loss; P < 0.05
Univariate OR,or_progesterone,0.926,95% CI 0.889–0.958; P < 0.001; per 1 ng/mL increase
Univariate OR,or_fhr,0.969,95% CI 0.952–0.983; P < 0.001; per 1 bpm increase
Univariate OR,or_mgsd,0.906,95% CI 0.857–0.948; P < 0.001; per 1 mm increase
Univariate OR,or_bhcg,0.966,95% CI 0.946–0.983; P < 0.001; per 1000 IU/L increase
Univariate OR,or_cervical_length,0.908,95% CI 0.838–0.973; P < 0.05; per 1 mm increase
Univariate OR,or_masd,0.962,95% CI 0.930–0.991; P < 0.05; per 1 mm increase
Univariate OR,or_crl,0.953,95% CI 0.912–0.988; P < 0.05; per 1 mm increase
Univariate OR,or_sflt1_plgf_ratio,0.983,95% CI 0.965–0.998; P < 0.05
Univariate OR,or_tt,0.849,95% CI 0.706–0.984; P < 0.05; per 1 mm increase
Univariate OR,or_age_14_19_vs_20_34,12.545,95% CI 1.113–283.886; P < 0.05
Univariate OR,or_age_35_46_vs_20_34,4.182,95% CI 1.666–10.817; P < 0.05
Multivariable MLR,mlr_final_predictors,Progesterone; cervical length; MGSD; trophoblast thickness (TT); sFlt-1:PlGF ratio; maternal age 35–46 years; FHR × MGSD interaction; FHR,Final terms after backward stepwise selection
Multivariable MLR,mlr_or_progesterone_iqr,0.059,"95% CI 0.01–0.249; P < 0.001; 1-IQR increase, IQR = 24.85 ng/mL"
Multivariable MLR,mlr_or_cervical_length_iqr,0.356,"95% CI 0.123–0.834; P < 0.05; 1-IQR increase, IQR = 10.10 mm"
Multivariable MLR,mlr_or_mgsd_iqr,0.188,"95% CI 0.032–0.884; P < 0.05; 1-IQR increase, IQR = 20.22 mm"
Multivariable MLR,mlr_or_tt_iqr,4.179,"95% CI 1.217–16.468; P < 0.05; 1-IQR increase, IQR = 3.68 mm"
Multivariable MLR,mlr_or_sflt1_plgf_iqr,0.217,"95% CI 0.034–0.83; P < 0.05; 1-IQR increase, IQR = 37.92"
Multivariable MLR,mlr_or_age_35_46_vs_20_34,6.832,95% CI 1.628–35.862; P < 0.05
Multivariable MLR,mlr_or_fhr_mgsd_interaction_iqr,5.036,95% CI 1.13–27.919; P < 0.05; interaction term
Multivariable MLR,mlr_or_fhr_iqr,2.229,95% CI 0.664–8.92; P = 0.216; retained despite non-significance; IQR = 47.25 bpm
Multivariable MLR,mlr_intercept_or,0.007,95% CI 0.001–0.045; P < 0.001
